form,ingr,month,revenue
Softgels,Prebiotic,may,0.225061
Tablets,Prebiotic,may,1.0307124
Capsules,Prebiotic,may,5.246488
Powder,Prebiotic,may,0.9983621
Other,Prebiotic,may,0.013237
Gummy,Fiber,may,1.94077621
Softgels,Fiber,may,0.058143
Tablets,Fiber,may,1.0733404
Capsules,Fiber,may,7.264369
Powder,Fiber,may,4.40595835
Other,Fiber,may,0.060358
Gummy,Electrolyte,may,0.0
Softgels,Electrolyte,may,0.0
Tablets,Electrolyte,may,0.276581
Capsules,Electrolyte,may,0.652998
Powder,Electrolyte,may,4.2319973300000004
Other,Electrolyte,may,0.0
Gummy,ALA,may,0.0
Softgels,ALA,may,0.135703
Tablets,ALA,may,0.323626
Capsules,ALA,may,2.1963586
Powder,ALA,may,0.117281
Other,ALA,may,0.036219
Gummy,BCAA,may,0.075701
Softgels,BCAA,may,0.0
Tablets,BCAA,may,0.169786
Capsules,BCAA,may,1.297594
Powder,BCAA,may,4.907682577142857
Other,BCAA,may,0.0
Gummy,GrapeSeed,may,0.47473
Softgels,GrapeSeed,may,0.035944
Tablets,GrapeSeed,may,0.489183
Capsules,GrapeSeed,may,1.11322876
Powder,GrapeSeed,may,2.1451865800000003
Other,GrapeSeed,may,0.055143
Gummy,Triphala,may,0.0
Softgels,Triphala,may,0.0
Tablets,Triphala,may,0.07971339999999999
Capsules,Triphala,may,0.585712
Powder,Triphala,may,0.041676
Other,Triphala,may,0.002585
Gummy,Lecithin,may,0.021343
Softgels,Lecithin,may,0.790712
Tablets,Lecithin,may,1.695854
Capsules,Lecithin,may,0.378381
Powder,Lecithin,may,1.250078
Other,Lecithin,may,0.013437
Gummy,Beta Alanine,may,0.0
Softgels,Beta Alanine,may,0.0
Tablets,Beta Alanine,may,0.0
Capsules,Beta Alanine,may,0.071091
Powder,Beta Alanine,may,1.1409518799999998
Other,Beta Alanine,may,0.0
Gummy,Hyaluronic_Acid,may,0.034944
Softgels,Hyaluronic_Acid,may,0.019598
Tablets,Hyaluronic_Acid,may,0.071522
Capsules,Hyaluronic_Acid,may,1.538137
Powder,Hyaluronic_Acid,may,1.202544
Other,Hyaluronic_Acid,may,0.015494
Gummy,Glucosamine|Chondroitine,may,0.083834
Softgels,Glucosamine|Chondroitine,may,0.013796
